Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Tin,"Tin, Tin-Lead, Indium",8,Chlorimet 2,"Nickel, Cobalt",16,0.14,Industrial (Acidic Rain),0.1,2.274,0.3,2.0,0.027125,Unfavorable
Inconel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Rural (Freshwater),0.01,1.196,2.0,1.0,0.002373,Compatible
Cadmium,"Cadmium, Beryllium",3,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.66,Rural (Freshwater),0.01,0.964,0.1,2.0,0.006273,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.18,Rural (Freshwater),0.01,0.458,2.0,1.0,0.000776,Compatible
Graphite,Graphite,20,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.09,Industrial (Acidic Rain),0.1,1.331,10.0,10.0,0.003915,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.32,Marine (Seawater),5.0,1.32,0.3,1.0,0.2778,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.46,Rural (Freshwater),0.01,1.728,0.3,1.0,0.007804,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.02,Rural (Freshwater),0.01,1.386,1.0,1.0,0.000264,Compatible
Tin,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,1.195,0.3,2.0,0.004226,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.58,Marine (Seawater),5.0,2.216,0.3,10.0,0.112925,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.08,Rural (Freshwater),0.01,2.311,2.0,2.0,0.001868,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Marine (Seawater),5.0,1.846,5.0,5.0,0.007218,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,4.353,5.0,1.0,0.113136,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Industrial (Acidic Rain),0.1,0.877,0.3,5.0,0.027493,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.33,Marine (Seawater),5.0,0.176,0.3,2.0,0.023666,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Cast iron,"Steels-Carbon, Low Alloy",6,0.09,Industrial (Acidic Rain),0.1,16.007,0.1,0.3,0.13288,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (active),"Nickel, Cobalt",16,0.34,Marine (Seawater),5.0,0.128,0.1,2.0,0.01819,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver,Silver,18,0.77,Rural (Freshwater),0.01,0.123,0.1,10.0,0.000942,Unfavorable
Lead,Lead,7,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.39,Marine (Seawater),5.0,0.619,0.3,5.0,0.042873,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Copper,"Copper-High Nickel, Monel",15,0.33,Rural (Freshwater),0.01,0.278,5.0,1.0,0.000845,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.59,Industrial (Acidic Rain),0.1,2.715,5.0,10.0,0.059291,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.2,Rural (Freshwater),0.01,0.693,0.3,2.0,0.001227,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead,Lead,7,0.06,Industrial (Acidic Rain),0.1,2.291,5.0,0.3,0.008683,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.77,Marine (Seawater),5.0,0.74,0.3,10.0,0.054584,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.06,Rural (Freshwater),0.01,0.274,5.0,2.0,0.000148,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver,Silver,18,0.73,Industrial (Acidic Rain),0.1,1.888,0.1,10.0,0.069436,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.49,Industrial (Acidic Rain),0.1,0.397,5.0,2.0,0.011074,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Titanium,Titanium,17,0.29,Rural (Freshwater),0.01,1.268,1.0,10.0,0.003429,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.3,Marine (Seawater),5.0,0.358,0.3,2.0,0.044634,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.18,Marine (Seawater),5.0,2.495,2.0,5.0,0.066014,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.49,Rural (Freshwater),0.01,0.041,0.1,1.0,0.000202,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.06,Rural (Freshwater),0.01,1.798,5.0,2.0,0.001009,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.16,Industrial (Acidic Rain),0.1,3.059,0.1,5.0,0.033401,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Marine (Seawater),5.0,0.347,2.0,5.0,0.000942,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Steel or iron,"Steels-Carbon, Low Alloy",6,0.42,Rural (Freshwater),0.01,0.839,0.1,0.3,0.003435,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Industrial (Acidic Rain),0.1,1.493,0.1,5.0,0.019338,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.01,Industrial (Acidic Rain),0.1,6.573,5.0,2.0,0.003947,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.63,Marine (Seawater),5.0,0.303,0.1,5.0,0.036227,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.65,Rural (Freshwater),0.01,0.342,0.1,5.0,0.00219,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Titanium,Titanium,17,0.39,Rural (Freshwater),0.01,0.403,2.0,10.0,0.001282,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Nickel (passive),"Nickel, Cobalt",16,0.58,Rural (Freshwater),0.01,3.975,0.1,2.0,0.024529,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.44,Marine (Seawater),5.0,0.889,0.3,1.0,0.289442,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.56,Industrial (Acidic Rain),0.1,0.714,0.3,5.0,0.027513,Unfavorable
Copper,"Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.08,Rural (Freshwater),0.01,16.546,1.0,1.0,0.013863,Compatible
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,1.5,Marine (Seawater),5.0,0.091,0.1,5.0,0.026924,Unfavorable
Lead,Lead,7,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.39,Rural (Freshwater),0.01,0.076,0.3,5.0,0.000269,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Graphite,Graphite,20,1.16,Marine (Seawater),5.0,4.263,0.1,10.0,0.469815,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.68,Industrial (Acidic Rain),0.1,20.38,0.1,5.0,0.870746,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.55,Rural (Freshwater),0.01,1.336,0.1,1.0,0.007526,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Platinum,"Palladium, Rhodium, Gold, Platinum",19,1.25,Rural (Freshwater),0.01,0.738,0.1,10.0,0.008384,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Nickel (passive),"Nickel, Cobalt",16,0.58,Industrial (Acidic Rain),0.1,0.069,0.1,2.0,0.003403,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (active),"Nickel, Cobalt",16,0.38,Marine (Seawater),5.0,1.089,0.1,2.0,0.180605,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.49,Rural (Freshwater),0.01,0.422,0.3,2.0,0.002107,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.0,Marine (Seawater),5.0,0.922,5.0,5.0,0.0,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.0,Marine (Seawater),5.0,1.951,5.0,5.0,0.0,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.41,Rural (Freshwater),0.01,0.248,5.0,1.0,0.001013,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.44,Marine (Seawater),5.0,0.49,0.3,1.0,0.142902,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.55,Rural (Freshwater),0.01,2.085,2.0,10.0,0.009725,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Silver,Silver,18,0.46,Industrial (Acidic Rain),0.1,0.257,0.3,10.0,0.005859,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Titanium,Titanium,17,1.09,Industrial (Acidic Rain),0.1,8.064,0.1,10.0,0.447453,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Inconel (active),"Nickel, Cobalt",16,0.0,Rural (Freshwater),0.01,1.146,2.0,2.0,0.0,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.68,Industrial (Acidic Rain),0.1,0.5,0.1,5.0,0.022351,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.16,Industrial (Acidic Rain),0.1,5.34,0.1,5.0,0.057307,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Silver,Silver,18,0.39,Marine (Seawater),5.0,6.257,2.0,10.0,0.195013,Compatible
Titanium,Titanium,17,Graphite,Graphite,20,0.07,Industrial (Acidic Rain),0.1,0.815,10.0,10.0,0.001841,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Chlorimet 2,"Nickel, Cobalt",16,0.25,Marine (Seawater),5.0,0.201,5.0,2.0,0.006753,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.1,Rural (Freshwater),0.01,0.407,2.0,1.0,0.000421,Compatible
Zinc,"Zinc, Zinc Coating",2,Titanium,Titanium,17,1.09,Industrial (Acidic Rain),0.1,0.568,0.1,10.0,0.033343,Unfavorable
Inconel (active),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.27,Industrial (Acidic Rain),0.1,0.65,2.0,5.0,0.010038,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.24,Marine (Seawater),5.0,7.091,0.3,1.0,1.188006,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.35,Marine (Seawater),5.0,4.647,0.3,1.0,1.081454,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver solder,Silver,18,0.43,Rural (Freshwater),0.01,1.206,5.0,10.0,0.004696,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Rural (Freshwater),0.01,4.81,0.3,2.0,0.013608,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.24,Marine (Seawater),5.0,0.685,5.0,2.0,0.023051,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Nickel (active),"Nickel, Cobalt",16,0.15,Marine (Seawater),5.0,1.379,0.3,2.0,0.080537,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.64,Marine (Seawater),5.0,0.375,0.1,5.0,0.045951,Unfavorable
Copper,"Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.15,Industrial (Acidic Rain),0.1,7.647,1.0,5.0,0.073502,Compatible
Cadmium,"Cadmium, Beryllium",3,Cast iron,"Steels-Carbon, Low Alloy",6,0.09,Marine (Seawater),5.0,4.949,0.1,0.3,0.700884,Compatible
Magnesium and magnesium alloys,Magnesium,1,Silver,Silver,18,1.64,Rural (Freshwater),0.01,4.88,0.1,10.0,0.08088,Unfavorable
Lead,Lead,7,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.37,Rural (Freshwater),0.01,0.937,0.3,5.0,0.003472,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.3,Rural (Freshwater),0.01,12.217,0.3,1.0,0.036529,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.69,Marine (Seawater),5.0,0.117,5.0,10.0,0.005108,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Rural (Freshwater),0.01,7.814,0.3,2.0,0.019216,Unfavorable
Titanium,Titanium,17,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.16,Marine (Seawater),5.0,0.777,10.0,10.0,0.006461,Compatible
Lead,Lead,7,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.43,Industrial (Acidic Rain),0.1,2.827,0.3,2.0,0.103777,Unfavorable
Copper,"Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.12,Rural (Freshwater),0.01,0.53,1.0,5.0,0.00061,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Industrial (Acidic Rain),0.1,1.753,0.3,2.0,0.04089,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.51,Marine (Seawater),5.0,0.848,2.0,10.0,0.035642,Compatible
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,1.5,Marine (Seawater),5.0,29.878,0.1,5.0,8.650642,Unfavorable
Silver solder,Silver,18,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.1,Industrial (Acidic Rain),0.1,5.333,10.0,2.0,0.025089,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Marine (Seawater),5.0,1.82,0.3,2.0,0.185869,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Nickel (active),"Nickel, Cobalt",16,0.68,Marine (Seawater),5.0,0.525,0.1,2.0,0.146229,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.41,Rural (Freshwater),0.01,0.269,0.3,1.0,0.001053,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.32,Industrial (Acidic Rain),0.1,0.254,0.3,1.0,0.007415,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Tin,"Tin, Tin-Lead, Indium",8,0.28,Industrial (Acidic Rain),0.1,0.393,0.1,0.3,0.011574,Compatible
Chlorimet 2,"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.23,Rural (Freshwater),0.01,0.885,2.0,5.0,0.001814,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.07,Marine (Seawater),5.0,2.269,1.0,5.0,0.026228,Compatible
Silver solder,Silver,18,Silver,Silver,18,0.18,Marine (Seawater),5.0,0.635,10.0,10.0,0.004813,Compatible
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Industrial (Acidic Rain),0.1,0.774,2.0,10.0,0.006736,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.11,Industrial (Acidic Rain),0.1,1.163,1.0,1.0,0.010748,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Copper,"Copper-High Nickel, Monel",15,0.22,Rural (Freshwater),0.01,1.275,0.3,1.0,0.00273,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.04,Industrial (Acidic Rain),0.1,0.674,0.3,5.0,0.001822,Compatible
Magnesium and magnesium alloys,Magnesium,1,Zinc,"Zinc, Zinc Coating",2,0.57,Rural (Freshwater),0.01,4.526,0.1,0.1,0.026759,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.24,Rural (Freshwater),0.01,16.24,5.0,10.0,0.034348,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.46,Rural (Freshwater),0.01,1.034,0.1,1.0,0.004596,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.19,Marine (Seawater),5.0,4.625,1.0,2.0,0.278862,Compatible
Zinc,"Zinc, Zinc Coating",2,Nickel (active),"Nickel, Cobalt",16,0.68,Industrial (Acidic Rain),0.1,1.792,0.1,2.0,0.10076,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (active),"Nickel, Cobalt",16,0.22,Industrial (Acidic Rain),0.1,0.298,5.0,2.0,0.003173,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,1.07,Industrial (Acidic Rain),0.1,2.918,0.1,5.0,0.193526,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Inconel (active),"Nickel, Cobalt",16,0.15,Industrial (Acidic Rain),0.1,17.871,0.3,2.0,0.220105,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Silver,Silver,18,0.74,Marine (Seawater),5.0,0.908,0.1,10.0,0.063024,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Inconel (active),"Nickel, Cobalt",16,0.0,Industrial (Acidic Rain),0.1,0.721,2.0,2.0,0.0,Compatible
Inconel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,1.191,2.0,2.0,0.086146,Compatible
Zinc,"Zinc, Zinc Coating",2,Titanium,Titanium,17,1.09,Rural (Freshwater),0.01,0.658,0.1,10.0,0.006495,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver solder,Silver,18,0.19,Rural (Freshwater),0.01,0.217,2.0,10.0,0.000357,Compatible
Inconel (active),"Nickel, Cobalt",16,Silver,Silver,18,0.39,Marine (Seawater),5.0,3.697,2.0,10.0,0.126388,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.33,Marine (Seawater),5.0,0.049,0.3,1.0,0.01186,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.53,Marine (Seawater),5.0,0.337,5.0,2.0,0.027166,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.16,Rural (Freshwater),0.01,0.413,2.0,1.0,0.000602,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (active),"Nickel, Cobalt",16,0.34,Industrial (Acidic Rain),0.1,0.917,0.1,2.0,0.02543,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Titanium,Titanium,17,0.67,Marine (Seawater),5.0,1.079,0.3,10.0,0.067105,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Silver solder,Silver,18,0.56,Marine (Seawater),5.0,0.398,0.1,10.0,0.022749,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.46,Marine (Seawater),5.0,7.663,0.3,1.0,2.383902,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.19,Industrial (Acidic Rain),0.1,1.92,1.0,10.0,0.017684,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Inconel (active),"Nickel, Cobalt",16,0.07,Marine (Seawater),5.0,2.872,0.3,2.0,0.083892,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.86,Industrial (Acidic Rain),0.1,0.058,0.1,1.0,0.004808,Unfavorable
Silver solder,Silver,18,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.02,Marine (Seawater),5.0,6.571,10.0,1.0,0.010638,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Silver,Silver,18,0.32,Rural (Freshwater),0.01,6.65,2.0,10.0,0.019269,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Titanium,Titanium,17,0.48,Rural (Freshwater),0.01,0.793,0.3,10.0,0.003791,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.03,Industrial (Acidic Rain),0.1,4.809,1.0,1.0,0.012783,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.05,Marine (Seawater),5.0,0.052,1.0,1.0,0.001214,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.69,Industrial (Acidic Rain),0.1,3.036,0.1,2.0,0.170671,Unfavorable
Cadmium,"Cadmium, Beryllium",3,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.62,Industrial (Acidic Rain),0.1,0.232,0.1,5.0,0.009147,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.66,Marine (Seawater),5.0,0.763,0.1,2.0,0.221562,Unfavorable
